handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_af65701f-7429-35db-d4b8-e1d335b3449c,Product,Macaloney's The Peat Project: Sugar Kelp Washington Peat,"<p>The Peat Project:&nbsp; Canadian Peated Single Malt Whisky</p><p>Distillery Smoked with Sugar Kelp Infused Washington Peat</p><p>Single Cask Series&nbsp;<br>Portuguese Red Wine STR barrique</p><p>&nbsp;</p><p>Sweet bonfire smoke, sugar kelp, vanilla fudge, ripe banana, sandalwood.</p><p>&nbsp;</p><p>50% ABV</p><p>&nbsp;</p><p>&nbsp;</p>",7c9ba4_8d37981c1bf14572aa25924be1b328a4~mv2.png, Spirits; Vancouver Island;Macaloney's Island Distillery,677933,NEW ARRIVAL,73.08,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,CASE SIZE,"<p>6 x 750 ml</p>
",Notes,,,,,,,,,,,,,,,,Macaloney's Island Distillery
product_1527cda7-36ac-9319-b6e8-0c4152116299,Product,Macaloney's The Peat Project: Harvest Coast,"<p>The Peat Project:&nbsp; Harvest Coast&nbsp;</p><p>Canadian Peated Single Malt Whisky</p><p>Distillery smoked with Washington Peat in Spanish Oloroso, Virgin American, Kentucky Bourbon, Portuguese Red Wine, Spanish&nbsp;Pedro Ximenez</p><p>&nbsp;</p><p>Wood smoke, pine forest, toffee fudge, apricot, dried figs, new leather, sweet oak.</p><p>&nbsp;</p><p>50% ABV</p><p>&nbsp;</p><p>&nbsp;</p>",7c9ba4_1d64b1fc209e4c9dbdb9786bad3abdfa~mv2.png, Spirits; Vancouver Island;Macaloney's Island Distillery,677928,NEW ARRIVAL,65.35,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,CASE SIZE,"<p>6 x 750 ml</p>
",,,,,,,,,,,,,,,,,Macaloney's Island Distillery
product_90093cb4-f339-0d37-d8f1-43edb551c59c,Product,Macaloney's The Peat Project: Cathedral Grove,"<p>The Peat Project:&nbsp; Cathedral Grove</p><p>Canadian Peated Single Malt Whisky</p><p>Distillery smoked with Washington Peat in Virgin American Oak&nbsp;</p><p>&nbsp;</p><p>Wood smoke, pine forest, toffee fudge, apricot, dried figs, new leather, sweet oak.</p><p>&nbsp;</p><p>46% ABV</p><p>&nbsp;</p><p>&nbsp;</p>",7c9ba4_0543ac94674945b9b0374ed2403cf1c1~mv2.png, Spirits; Vancouver Island;Macaloney's Island Distillery,677925,,65.35,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,CASE SIZE,"<p>6 x 750 ml</p>
",,,,,,,,,,,,,,,,,Macaloney's Island Distillery
product_afcefc2b-29d6-969b-f95e-95386a434ef5,Product,Wayward Distillery Depth Charge Nocino,"<p>Depth Charge Nocino begins with a single walnut tree on Denman Island, a quiet old giant that has shaded families for years and still drops a generous crop each summer. When the walnuts are green and full of aroma, we gather them by hand and steep them in our dark and dry Depth Charge spirit. The base carries natural notes of coffee and cacao with a small amount of honey to bring everything together.</p><p>As the walnuts infuse, the spirit grows deeper in flavour. The green husks add earthy tannins and a hint of resin, and the roasted character of Depth Charge develops into something richer. Aromas of walnut, orange peel, nutmeg, coffee, and burnt sugar rise from the glass. A touch of honey offers balance without adding sweetness.</p><p>&nbsp;</p><p>30% ABV</p>",7c9ba4_6ca50b80a4804c3c9f0c9c0661504299~mv2.png,Wayward Distillery; Vancouver Island; Spirits,658784,NEW RELEASE,26.27,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,CASE SIZE,"<p>12 x 375&nbsp;ml</p>
",,,,,,,,,,,,,,,,,Wayward Distillery
product_791fd557-8fdc-3a9b-96eb-7c0236342109,Product,Synchromesh 2022 Storm Haven Boulders Block Riesling,"<p>Grown in heavy clay soils, filled with granit boulders, over a sublayer of sandy gravels.&nbsp; This wine presents with a fuller body, high acidity, and dry finish.&nbsp;</p><p>Baked pie apple, lime zest with a broad mouthfeel and weight.</p>",7c9ba4_878cdfc7f1ce499fa4f88e1ca79a9d7e~mv2.png, Okanagan; Wine; White;Synchromesh,419476,,24.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,CASE SIZE,12 x 750 ml,,,,,,,,,,,,,,,,,Synchromesh
product_9f8121e2-c714-d23a-f6cb-79cc830b5b2d,Product,Unsworth Cuvée de l'Île 2019,"<p>Cuvée de l'île is crafted in the traditional method. 2019 Unsworth Vineyard Cuvée de l'île is&nbsp;Pinot Gris (87%), Chardonnay (13%) &nbsp;The wine is lees aged in tank and for a further 36 months in bottle before hand riddling and disgorgement. Following a minimal Brut Nature style dosage, the wine was aged for a further year before release.</p><p>&nbsp;</p><p>The wine shows toasty notes of nuts and fresh brioche supported by apple and lemon. Cuvée de l’île is a wine of passion and made in very small quantities. It is bone-dry, poised and showcases Unsworth’s meticulous attention to detail.</p>",7c9ba4_2c431b70dd4643c2ad6945f41ab77d37~mv2.jpg, Vancouver Island; Wine;Unsworth Vineyards; Sparkling,309810,,39.88,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,CASE SIZE,12 x 750 ml,,,,,,,,,,,,,,,,,Unsworth Vineyards
product_4503377b-9720-e95b-1eb3-10343c55194a,Product,Cannon Estate Enivré 2022,"<p>Alsace-style Pinot Gris Blend</p><p>&nbsp;</p><p>70% Pinot Gris and 30% Gewürztraminer from the Estate vineyard.</p><p>&nbsp;</p><p>Clear, pale yellow, nose of honey, applesauce and lemon blossom.</p><p>&nbsp;</p><p>12.1% ABV</p>",02af16_dfb4661f991c464f9ab5b5606362be49~mv2.png, White; Wine;Cannon Estate Winery; Lower Mainland,305932,,19.19,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,CASE SIZE,12 x 750 ml,,,,,,,,,,,,,,,,,Cannon Estate Winery
product_92932eb1-c60d-8da8-4563-5f631d3377d9,Product,Cannon Estate Wick Loose Cannon Frizzante Rosé,"<p>Gamay Noir and Gewürztraminer blended into delicate pale salmon-pink hue.&nbsp;&nbsp;</p><p>Fine, spritely bubbles.</p><p>&nbsp;</p><p>Notes of rose petal and ginger.</p><p>11.5% ABV</p>",7c9ba4_775500fa8fa8405aa277006393facfc8~mv2.png,Cannon Estate Winery; Sparkling; Rosé; Wine; Lower Mainland,544125,,14.63,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,CASE SIZE,12 x 750 ml,,,,,,,,,,,,,,,,,Cannon Estate Winery
product_fcf35a8b-256f-b834-eead-56dc20df41e4,Product,Cannon Estate Wick Eager Beaver Rosé 2022,"<p>Marechal Foch Rosé Blend</p><p>&nbsp;</p><p>Notes of Bing Cherry, Blackberry, Lemon, Vanilla&nbsp;</p>",7c9ba4_e602aa4690d149b985aa8486af0aa25b~mv2.png,Cannon Estate Winery; Rosé; Wine; Lower Mainland,305918,,13.85,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,CASE SIZE,12 x 750 ml,,,,,,,,,,,,,,,,,Cannon Estate Winery
product_a5090115-cfc0-9704-1f78-87d31809a031,Product,"Cobble Hill Winery 2022 ""Storming the Castel"" Port-Style","<p>Fortified (Port Style) red wine, crafted from estate-grown Cobble Hill Castel, hillside fruit. This wine displays a captivating deep ruby color with hints of purple. The nose enchants with aromas of black currant, ripe raspberry, exotic spices, and toasted vanilla beans.&nbsp;&nbsp;On the palate, experience a richly textured blend of dark blackberries, plum, cinnamon, and freshly baked graham cracker pie crust. With a touch less sweetness and alcohol compared to a traditional port, this dessert wine is refreshingly balanced.</p><p>&nbsp;</p><p>ABV 19.5%</p><p>375 ml</p>",7c9ba4_88e77bdc23f94209abc46400623fb210~mv2.png,Cobble Hill Winery; Vancouver Island; Wine; Red,273882,,16.66,,true,PERCENT,0.0,InStock,,16.66,,,,,,,,,,,,,,,,,,,CASE SIZE,"<p>12 x 375&nbsp;ml</p>
",,,,,,,,,,,,,,,,,
